1,1,COLLEVERDE VOLLEY,BORGO BIRRAI,16/11/2021 21:15:00,Pallotti Andrea,3-2/25-14/25-18/24-26/17-25/18-16,0,
2,1,ANIENE VOLLEY,ASD ANDREA DORIA,17/11/2021 21:15:00,Pescatore Antonio,3-2/25-16/22-25/25-19/25-27/16-14,0,
3,1,ASD FISIO&SPORT-DECIMO ROMA,ASD ARES-VOLLEY REVOLUTION,18/11/2021 21:40:00,Italiano Tiziana,0-3/12-25/15-25/19-25/0-0/0-0,0,
4,1,UNICORNO VOLLEY,VOLLEYRO,18/11/2021 21:40:00,Valente Michele,3-0/25-20/25-14/25-17/0-0/0-0,0,
5,1,DREAM VOLLEY,BORGHETTO MASTER CLASS,18/11/2021 21:30:00,Gasperotti Bruno,3-0/25-21/25-23/25-21/0-0/0-0,0,
6,1,ARMATA BRANCA BORGO,ASD LUDICA,19/11/2021 21:15:00,Italiano Tiziana,3-0/25-13/25-20/25-23/0-0/0-0,0,
7,2,ASD LUDICA,UNICORNO VOLLEY,22/11/2021 21:30:00,Italiano Tiziana,0-3/19-25/14-25/17-25/0-0/0-0,0,
8,2,ASD ARES-VOLLEY REVOLUTION,DREAM VOLLEY,23/11/2021 21:15:00,Pagliocca Aurora,3-0/25-13/25-17/25-15/0-0/0-0,0,
9,2,BORGHETTO MASTER CLASS,ANIENE VOLLEY,24/11/2021 21:15:00,Nigrello Cristina,1-3/25-23/15-25/20-25/20-25/0-0,0,
10,2,VOLLEYRO,BORGO BIRRAI,25/11/2021 21:45:00,Italiano Tiziana,3-0/25-17/25-20/25-23/0-0/0-0,0,
11,2,ASD FISIO&SPORT-DECIMO ROMA,COLLEVERDE VOLLEY,25/11/2021 21:40:00,Italiano Tiziana,3-2/21-25/25-21/25-17/14-25/15-13,0,
12,2,ASD ANDREA DORIA,ARMATA BRANCA BORGO,26/11/2021 21:15:00,Pallotti Andrea,0-3/15-25/21-25/20-25/0-0/0-0,0,
13,3,ASD LUDICA,VOLLEYRO,29/11/2021 21:30:00,Magano Tiziana,3-1/23-25/25-11/25-10/26-24/0-0,0,
14,3,ANIENE VOLLEY,ASD ARES-VOLLEY REVOLUTION,01/12/2021 21:15:00,Nigrello Cristina,0-3/16-25/22-25/14-25/0-0/0-0,0,
15,3,ASD FISIO&SPORT-DECIMO ROMA,BORGO BIRRAI,02/12/2021 21:40:00,Pagliocca Aurora,1-3/18-25/21-25/25-21/21-25/0-0,0,
16,3,UNICORNO VOLLEY,ASD ANDREA DORIA,02/12/2021 21:40:00,Italiano Tiziana,3-0/25-10/25-12/25-11/0-0/0-0,0,
17,3,DREAM VOLLEY,COLLEVERDE VOLLEY,02/12/2021 21:30:00,Pallotti Andrea,1-3/19-25/22-25/25-18/24-26/0-0,0,
18,3,ARMATA BRANCA BORGO,BORGHETTO MASTER CLASS,03/12/2021 21:15:00,Pescatore Antonio,3-0/25-6/25-14/25-23/0-0/0-0,0,
19,4,ASD ARES-VOLLEY REVOLUTION,ARMATA BRANCA BORGO,07/12/2021 21:15:00,Pagliocca Aurora,3-0/25-20/25-20/25-11/0-0/0-0,0,
20,4,COLLEVERDE VOLLEY,ANIENE VOLLEY,07/12/2021 21:15:00,da designare,3-1/25-11/24-26/25-14/25-10/0-0,0,
21,4,VOLLEYRO,ASD FISIO&SPORT-DECIMO ROMA,09/12/2021 21:45:00,Pagliocca Aurora,1-3/25-22/23-25/24-26/22-25/0-0,0,
