1,ASD ARES-VOLLEY REVOLUTION,22,64,20,2,64,10,1770,1249,0
2,UNICORNO VOLLEY,22,61,19,3,61,23,1925,1582,0
3,ARMATA BRANCA BORGO,22,55,17,5,55,25,1867,1586,0
4,DREAM VOLLEY,22,52,15,7,52,30,1826,1662,0
5,COLLEVERDE VOLLEY,22,49,14,8,49,35,1847,1758,0
6,ANIENE VOLLEY,22,41,11,11,41,40,1710,1763,0
7,ASD FISIO&SPORT-DECIMO ROMA,22,41,8,14,41,50,1911,2005,0
8,BORGO BIRRAI,22,40,9,13,40,48,1827,1908,0
9,ASD LUDICA,22,30,9,13,30,49,1583,1757,0
10,VOLLEYRO,22,23,5,17,23,55,1586,1840,0
11,ASD ANDREA DORIA,22,20,3,19,20,60,1504,1853,0
12,BORGHETTO MASTER CLASS,22,13,2,20,13,64,1449,1842,0
